Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
No,0.168239,0.16503299999999999,0.69216,0.010229,0.007056000000000001,0.245065,0.0,0.11450199999999999,0.12231600000000001,7.000000000000001e-06,0.16503299999999999
Yes,0.853143,0.33017199999999997,0.689442,0.009704,0.014874,0.008161,0.25,0.096626,0.023578,1.8e-05,0.33017199999999997
Yes,0.164576,0.282077,0.696702,0.016817,0.007056000000000001,0.054100999999999996,0.25,0.12637400000000001,0.068487,5.2000000000000004e-05,0.282077
Yes,0.523095,0.334215,0.695508,0.005918,0.014111000000000002,0.001132,0.5,0.089053,0.004312,0.0,0.334215
Yes,0.43559200000000003,0.304259,0.6950029999999999,0.0058460000000000005,0.0037189999999999996,0.004527000000000001,0.5,0.089053,0.013980000000000001,3e-06,0.304259
Yes,0.9952540000000001,0.392916,0.69584,0.0049380000000000005,0.045665,0.01924,0.5,0.133131,0.003121,1e-06,0.392916
No,0.146428,0.13301500000000002,0.705911,0.40272600000000003,0.174869,0.22791399999999998,0.25,0.404855,0.601591,0.00020299999999999997,0.13301500000000002
No,0.185143,0.24111300000000002,0.686735,0.37596599999999997,0.16816099999999998,0.22559200000000001,0.25,0.404855,0.606042,0.002708,0.24111300000000002
No,0.20562800000000003,0.135974,0.709136,0.386362,0.16957,0.226521,0.25,0.405445,0.636473,0.000266,0.135974
No,0.344188,0.150054,0.670284,0.368975,0.159163,0.221856,0.25,0.404855,0.5658770000000001,0.000259,0.150054
No,0.315367,0.047546,0.680404,0.398255,0.155951,0.22098,0.25,0.404855,0.643842,0.0,0.047546
No,0.338925,0.11603,0.711892,0.398056,0.16311900000000001,0.224268,0.25,0.405445,0.678347,0.000197,0.11603
No,0.28168699999999997,0.12340899999999999,0.6658729999999999,0.410459,0.15287,0.21905300000000003,0.25,0.404855,0.613853,0.000167,0.12340899999999999
No,0.195509,0.139236,0.6871970000000001,0.38101,0.17228800000000002,0.22324899999999998,0.25,0.404855,0.660502,0.00033,0.139236
No,0.198625,0.079438,0.723757,0.407492,0.178066,0.227613,0.25,0.404855,0.637778,4.4e-05,0.079438
No,0.184279,0.15115399999999998,0.685774,0.370758,0.166973,0.22215900000000002,0.25,0.404855,0.6025560000000001,0.000325,0.15115399999999998
No,0.1999,0.175226,0.690946,0.338961,0.164898,0.214658,0.25,0.404855,0.593108,0.000556,0.175226
No,0.18598499999999998,0.127831,0.6923560000000001,0.378182,0.177599,0.219205,0.25,0.404855,0.647022,0.00022799999999999999,0.127831
No,0.15578499999999998,0.12928399999999998,0.723314,0.423378,0.187419,0.22791399999999998,0.25,0.404855,0.477459,8.8e-05,0.12928399999999998
No,0.174451,0.148509,0.692609,0.39037,0.178438,0.223991,0.25,0.404855,0.579326,0.000268,0.148509
No,0.18287,0.16852899999999998,0.692472,0.35471199999999997,0.16803800000000002,0.21811799999999998,0.25,0.404855,0.563926,0.00040599999999999995,0.16852899999999998
No,0.180316,0.138245,0.708142,0.37982,0.175532,0.22017199999999998,0.25,0.404855,0.616557,0.00025299999999999997,0.138245
No,0.198844,0.15879200000000002,0.702788,0.394855,0.183444,0.221559,0.25,0.404855,0.614781,0.00042,0.15879200000000002
No,0.16886900000000002,0.110922,0.7026399999999999,0.400215,0.181336,0.22433899999999998,0.25,0.404855,0.635271,0.000133,0.110922
